project_url,sha,module,test,type,status,PR_link,notes
https://github.com/raphw/byte-buddy,b19eabacf6a9df26641052037666566b2152ce9f,byte-buddy-dep,net.bytebuddy.ClassFileVersionTest.testLatestVersion,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,minifi/minifi-toolkit/minifi-toolkit-configuration,org.apache.nifi.minifi.toolkit.configuration.ConfigMainTest.testTransformRoundTripMultipleRelationships,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-ldap-iaa-providers-bundle/nifi-ldap-iaa-providers,org.apache.nifi.ldap.tenants.LdapUserGroupProviderTest.testGetGroupByName,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-aws-bundle/nifi-aws-processors,org.apache.nifi.processors.aws.wag.TestInvokeAmazonGatewayApiMock.testSendQueryParams,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-stateless-processor-bundle/nifi-stateless-processor-tests,org.apache.nifi.processors.stateless.TestExecuteStateless.testSplitWithParameters,ID,,,
https://github.com/Huawei/vCenter_Plugin_DME,fa077ef3c8ee052afc01084bc5aaae7c3b4518a4,dmestore-service,com.huawei.dmestore.services.VmfsAccessServiceTest.unmountVmfs,ID,,,
https://github.com/dromara/hutool,ec14f8384ad384fb6e054df722fe089d64af0c41,hutool-core,cn.hutool.core.annotation.AnnotationUtilTest.getAnnotationSyncAlias,ID,,,
https://github.com/apache/dubbo,3fc2d100bb2081c3da1996508e1f1200cea21d2f,dubbo-config/dubbo-config-api,org.apache.dubbo.config.event.listener.PublishingServiceDefinitionListenerTest.testOnServiceConfigExportedEvent,ID,,,
https://github.com/apache/shenyu,22546ae0e6a4047ee08bf4a41f9114f47ba57e19,shenyu-admin,org.apache.shenyu.admin.service.PermissionServiceTest.testGetPermissionMenu,ID,,,
https://github.com/apache/hive,90fa9064f2c6907fbe6237cb46d5937eebd8ea31,serde,org.apache.hadoop.hive.serde2.lazy.TestLazySimpleSerDe.testSerDeParameters,ID,,,
https://github.com/wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,dist,org.wildfly.dist.subsystem.xml.StandardConfigsXMLValidationUnitTestCase.testDomain,ID,,,
https://github.com/OpenAPITools/openapi-generator,fe934dc1b40227369f226611219886760458f6d2,modules/openapi-generator,org.openapitools.codegen.DefaultCodegenTest.testVarsAndRequiredVarsPresent,ID,,,https://github.com/TestingResearchIllinois/idoft/issues/595
https://github.com/apache/flink,23c9b5ac50d04d28a34a87c78eb2d3331c06b74b,flink-table/flink-table-runtime-blink,org.apache.flink.table.runtime.operators.join.RowTimeBoundedStreamJoinTest.testRowTimeFullOuterJoin,ID,,,https://github.com/TestingResearchIllinois/idoft/issues/20
https://github.com/jchambers/pushy,da5f8b97106cd41278b421ec63e4e76a7313bed9,pushy,com.eatthepath.pushy.apns.auth.AuthenticationTokenTest.testVerifySignature,ID,,,
